sugars_100g,fat_100g,salt_100g,fiber_100g,fruit_veg_100g,additives_n,proteins_100g,carbohydrates_100g,target,is_empty_calories,is_hidden_sodium,is_hyper_processed,is_low_fat_sugar_trap,is_hyperpalatable,violates_expectations,is_functionally_inconsistent,is_ultra_processed_combo,symbolic_score
1.27,16.46,1.9939,2.5,0.0,1.0,13.92,16.46,1,0,1,0,0,0,0,0,0,0
2.86,0.61,0.75692,1.2,0.0,1.0,3.27,7.35,0,0,0,0,0,0,0,0,0,0
3.0,12.0,1.5,0.0,0.0,5.0,11.0,18.0,1,0,0,1,0,0,0,0,0,0
0.0,0.0,0.93472,5.3,0.0,0.0,22.81,10.53,0,0,0,0,0,0,0,0,0,0
0.0,0.0,6.096,0.0,0.0,2.0,0.0,20.0,1,0,1,0,0,0,0,0,0,3
3.5,1.5,0.03,2.5,0.0,0.0,11.8,72.0,0,0,0,0,0,0,0,0,0,0
53.33,10.0,0.80518,3.3,0.0,9.0,3.33,76.67,1,0,0,1,0,0,0,0,0,0
5.0,2.0,1.3,10.0,0.0,0.0,12.0,70.0,0,0,0,0,0,0,0,0,0,0
71.0,0.2,0.15,0.0,0.0,5.0,0.8,80.0,1,1,0,1,1,0,0,0,0,0
0.0,1.79,0.13716,0.0,0.0,0.0,21.43,0.0,0,0,0,0,0,0,0,0,0,0
0.0,1.18,0.46228,0.0,0.0,0.0,25.88,0.0,0,0,0,0,0,0,0,0,0,0
16.0,2.7,0.1016,0.1,0.0,0.0,2.6,19.0,1,1,0,0,1,0,0,0,0,0
42.0,0.1,0.0254,1.0,0.0,4.0,0.2,56.0,1,1,0,1,1,0,0,0,0,0
3.8,1.27,1.12522,2.5,0.0,3.0,10.13,59.49,0,0,0,0,0,0,0,0,0,0
7.14,2.14,0.43434,7.1,0.0,6.0,10.0,24.29,0,0,0,1,0,0,0,0,0,0
3.06,10.2,2.12598,1.0,0.0,2.0,13.27,41.84,1,0,1,0,0,0,0,0,0,0
1.0,2.5,0.1016,0.0,0.0,0.0,22.0,1.0,0,0,0,0,0,0,0,0,0,0
1.0,6.7,0.61,0.0,0.0,1.0,12.7,14.6,0,0,0,0,0,0,0,0,0,0
4.26,0.0,0.0635,0.7,0.0,3.0,7.09,5.67,0,0,0,0,0,0,0,0,0,0
0.6,1.5,4.0,0.0,0.0,0.0,1.3,0.8,1,0,1,0,0,0,0,0,0,0
30.0,3.33,0.508,6.7,0.0,1.0,8.89,36.67,0,0,0,0,0,0,0,0,0,0
43.14,0.0,0.09906,0.0,0.0,7.0,3.92,74.51,1,1,0,1,1,0,0,0,0,11
66.5,0.2,0.01,6.71,0.0,0.0,1.8,75.0,1,0,0,0,1,0,0,0,0,0
3.57,53.57,0.99822,10.7,0.0,0.0,21.43,17.86,1,0,0,0,0,0,0,0,0,0
3.33,6.67,1.35382,10.0,0.0,2.0,13.33,73.33,0,0,0,0,0,0,0,0,0,0
0.0,2.0,0.02032,16.0,0.0,0.0,10.0,78.0,0,0,0,0,0,0,0,0,0,0
0.0,1.67,0.0,10.0,0.0,0.0,13.33,66.67,0,0,0,0,0,0,0,0,0,0
0.0,0.0,2.1,0.0,0.0,0.0,23.0,0.0,1,0,1,0,0,0,0,0,0,3
20.0,28.0,0.37,0.0,0.0,5.0,7.2,62.0,1,1,0,1,0,0,0,0,0,0
15.71,0.0,0.0,1.4,0.0,1.0,0.0,17.86,0,1,0,0,1,0,0,0,0,7
59.0,0.3,0.05,1.5,54.0,1.0,0.5,60.0,1,1,0,0,1,0,0,0,0,0
2.4,0.0,0.58928,0.8,0.0,1.0,0.8,5.6,0,0,0,0,0,0,0,0,0,0
4.8,3.6,0.13,0.0,0.0,0.0,3.2,4.8,0,0,0,0,0,0,0,0,0,0
0.9,4.0,1.0,0.0,0.0,1.0,6.7,13.0,0,0,0,0,0,0,0,0,0,0
8.4,0.2,0.005,1.9,0.0,0.0,0.8,13.6,0,0,0,0,0,0,0,0,0,0
2.33,5.81,1.65354,7.0,0.0,10.0,6.98,46.51,0,0,1,1,0,0,0,0,0,0
7.14,46.43,1.99644,10.7,0.0,0.0,21.43,28.57,1,0,1,0,0,0,0,0,0,0
3.57,1.79,0.0,3.6,0.0,0.0,12.5,69.64,0,0,0,0,0,0,0,0,0,0
2.5,0.0,0.46482,1.7,0.0,2.0,0.83,4.17,0,0,0,0,0,0,0,0,0,0
0.0,16.0,5.0,0.0,0.0,3.0,32.0,0.0,1,0,1,0,0,0,0,0,0,3
2.5,16.0,1.3,1.0,0.0,0.0,7.0,27.0,1,0,0,0,0,0,0,0,0,0
3.9,3.9,0.45,0.8,0.0,0.0,1.6,5.2,0,0,0,0,0,0,0,0,0,0
0.7,8.8,0.32,0.0,0.0,0.0,12.0,0.7,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0,0,0,0,0,0,0,0,0,0
0.5,0.0,1.9,0.5,0.0,0.0,22.1,0.0,1,0,1,0,0,0,0,0,0,3
2.63,36.84,2.94132,0.0,0.0,0.0,10.53,18.42,1,0,1,0,0,0,0,0,0,0
40.0,0.2,2.8,0.0,0.0,0.0,0.3,43.0,1,1,1,1,1,0,0,0,0,0
0.83,0.0,1.2065,4.2,0.0,0.0,5.83,17.5,0,0,0,0,0,0,0,0,0,0
11.43,2.86,2.10566,2.9,0.0,12.0,12.86,70.0,1,0,1,1,0,0,0,0,0,0
3.85,34.62,4.00558,0.0,0.0,1.0,19.23,3.85,1,0,1,0,0,0,0,0,0,0
48.0,32.0,0.13,0.0,0.0,1.0,5.0,52.0,1,1,0,0,0,0,0,0,0,0
43.3,37.2,0.0254,4.9,0.0,1.0,4.9,46.1,1,0,0,0,0,0,0,0,0,0
